City_ID,City,Cloudiness,Country,Current Description,Date,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,Thunder Bay,0,CA,clear sky,2022-02-05 05:20:37,74,48.4001,-89.3168,-2.43,0,0,5.75
1,Thompson,11,CA,few clouds,2022-02-05 05:09:46,100,55.7435,-97.8558,-33.45,0,0,2.73
2,Kununurra,40,AU,scattered clouds,2022-02-05 05:20:38,74,-15.7667,128.7333,85.98,0,0,3.44
3,Kavaratti,81,IN,broken clouds,2022-02-05 05:20:38,58,10.5669,72.642,77.94,0,0,4.79
4,Atuona,20,PF,few clouds,2022-02-05 05:19:19,77,-9.8,-139.0333,78.78,0,0,16.4
5,Busselton,6,AU,clear sky,2022-02-05 05:20:39,33,-33.65,115.3333,108.05,0,0,9.42
6,Punta Arenas,0,CL,clear sky,2022-02-05 05:20:39,70,-53.15,-70.9167,44.71,0,0,8.05
7,Haines Junction,100,CA,overcast clouds,2022-02-05 05:20:40,70,60.7522,-137.5108,-11.25,0,0,1.14
8,Albany,99,US,overcast clouds,2022-02-05 05:20:40,85,42.6001,-73.9662,14.76,0,0,3.22
9,Port Elizabeth,94,ZA,light rain,2022-02-05 05:08:55,81,-33.918,25.5701,68.09,0,0,10.02
10,Annau,40,TM,dust,2022-02-05 05:20:41,40,37.8876,58.516,51.3,0,0,23.02
11,Esperance,3,AU,clear sky,2022-02-05 05:07:33,46,-33.8667,121.9,83.8,0,0,16.28
12,Hithadhoo,97,MV,overcast clouds,2022-02-05 05:11:36,74,-0.6,73.0833,82.17,0,0,12.55
13,Donji Milanovac,10,RS,clear sky,2022-02-05 05:20:41,78,44.4627,22.1523,35.02,0,0,5.1
14,East London,95,ZA,light rain,2022-02-05 05:06:48,88,-33.0153,27.9116,69.04,0,0,11.86
15,Mayo,100,US,overcast clouds,2022-02-05 05:11:23,79,38.8876,-76.5119,35.55,0,0,7.0
16,Riyadh,22,SA,few clouds,2022-02-05 05:20:34,33,24.6877,46.7219,60.85,0,0,17.27
17,Ushuaia,0,AR,clear sky,2022-02-05 05:16:02,87,-54.8,-68.3,44.26,0,0,5.75
18,Mahebourg,98,MU,light rain,2022-02-05 05:07:25,85,-20.4081,57.7,81.25,0,0,21.52
19,Faanui,75,PF,light rain,2022-02-05 05:11:23,75,-16.4833,-151.75,80.64,0,0,13.56
20,Guaymas,0,MX,clear sky,2022-02-05 05:20:43,40,27.9333,-110.9,56.44,0,0,9.22
21,Sorland,100,NO,overcast clouds,2022-02-05 05:12:21,76,67.667,12.6934,33.6,0,0,30.36
22,Bluff,49,NZ,scattered clouds,2022-02-05 05:10:48,59,-46.6,168.3333,59.81,0,0,5.82
23,Kapaa,20,US,few clouds,2022-02-05 05:20:44,77,22.0752,-159.319,75.52,0,0,5.75
24,Caraquet,100,CA,light snow,2022-02-05 05:16:37,90,47.7941,-64.9386,10.35,0,0,14.54
25,Polunochnoye,100,RU,overcast clouds,2022-02-05 05:20:45,94,60.8697,60.4153,10.89,0,0,0.89
26,Mataura,10,NZ,clear sky,2022-02-05 05:20:45,43,-46.1927,168.8643,60.48,0,0,6.64
27,Rikitea,5,PF,clear sky,2022-02-05 05:20:45,69,-23.1203,-134.9692,78.98,0,0,7.52
28,Bethel,100,US,overcast clouds,2022-02-05 05:17:40,84,41.3712,-73.414,27.55,0,0,5.75
29,Yellowknife,100,CA,overcast clouds,2022-02-05 05:20:46,81,62.456,-114.3525,-25.71,0,0,4.61
30,Dhidhdhoo,54,MV,broken clouds,2022-02-05 05:20:46,64,6.8833,73.1,81.28,0,0,9.37
31,Mar Del Plata,100,AR,moderate rain,2022-02-05 05:11:16,86,-38.0023,-57.5575,67.08,0,0,1.99
32,Uyemskiy,40,RU,scattered clouds,2022-02-05 05:20:47,77,64.4743,40.8524,-1.95,0,0,4.47
33,Brae,100,GB,overcast clouds,2022-02-05 05:20:48,66,60.3964,-1.353,40.91,0,0,21.61
34,Khasan,37,RU,scattered clouds,2022-02-05 05:20:48,44,42.4308,130.6434,18.77,0,0,21.23
35,Hermanus,0,ZA,clear sky,2022-02-05 05:20:48,76,-34.4187,19.2345,66.79,0,0,18.48
36,Tias,0,ES,clear sky,2022-02-05 05:20:49,63,28.9611,-13.645,62.35,0,0,8.05
37,Puerto Escondido,0,MX,clear sky,2022-02-05 05:13:31,73,15.85,-97.0667,77.83,0,0,0.0
38,Novyy Urengoy,100,RU,overcast clouds,2022-02-05 05:20:49,96,66.0833,76.6333,6.44,0,0,8.48
39,Yakeshi,100,CN,overcast clouds,2022-02-05 05:20:50,86,49.2833,120.7333,4.39,0,0,10.89
40,Asfi,90,MA,overcast clouds,2022-02-05 05:18:13,59,32.2994,-9.2372,61.02,0,0,13.58
41,Saint-Philippe,100,RE,moderate rain,2022-02-05 05:11:14,89,-21.3585,55.7679,83.79,0,0,24.61
42,Vaini,100,TO,light rain,2022-02-05 05:20:51,94,-21.2,-175.2,77.16,0,0,14.97
43,Hamilton,100,US,overcast clouds,2022-02-05 05:14:24,86,39.1834,-84.5333,19.24,0,0,4.61
44,Norman Wells,100,CA,overcast clouds,2022-02-05 05:12:32,92,65.282,-126.8329,-11.97,0,0,3.94
45,Antofagasta,3,CL,clear sky,2022-02-05 05:20:51,71,-23.65,-70.4,63.68,0,0,5.21
46,Kushima,53,JP,broken clouds,2022-02-05 05:20:52,50,31.4583,131.2333,50.04,0,0,15.95
47,Milazzo,9,IT,clear sky,2022-02-05 05:20:52,63,38.2212,15.2383,59.18,0,0,5.99
48,Cape Town,0,ZA,clear sky,2022-02-05 05:15:58,68,-33.9258,18.4232,66.88,0,0,4.0
49,Georgetown,40,MY,scattered clouds,2022-02-05 05:16:27,66,5.4112,100.3354,90.9,0,0,1.01
50,Camana,74,PE,broken clouds,2022-02-05 05:13:17,84,-16.6228,-72.7111,70.43,0,0,7.05
51,Altoona,91,US,overcast clouds,2022-02-05 05:20:53,95,40.5187,-78.3947,25.27,0,0,5.99
52,Lloydminster,100,CA,overcast clouds,2022-02-05 05:16:37,85,53.2835,-110.0016,-0.18,0,0,8.05
53,Castro,79,BR,broken clouds,2022-02-05 05:08:23,98,-24.7911,-50.0119,64.24,0,0,4.5
54,Vila Franca Do Campo,100,PT,overcast clouds,2022-02-05 05:16:28,82,37.7167,-25.4333,56.19,0,0,8.57
55,Avarua,20,CK,few clouds,2022-02-05 05:18:02,83,-21.2078,-159.775,78.85,0,0,10.36
56,Tank,3,PK,clear sky,2022-02-05 05:20:54,39,32.2217,70.3793,56.57,0,0,3.0
57,Foam Lake,100,CA,overcast clouds,2022-02-05 05:20:55,95,51.65,-103.5343,-0.38,0,0,10.74
58,Celestun,38,MX,scattered clouds,2022-02-05 05:20:56,90,20.8667,-90.4,73.47,0,0,19.06
59,Kupang,24,ID,few clouds,2022-02-05 05:13:32,74,-10.1667,123.5833,84.24,0,0,11.7
60,Garowe,11,SO,few clouds,2022-02-05 05:20:56,44,8.4054,48.4845,67.35,0,0,6.64
61,Hobart,20,AU,few clouds,2022-02-05 05:20:45,62,-42.8794,147.3294,71.28,0,0,1.01
62,Yantzaza,87,EC,overcast clouds,2022-02-05 05:20:57,99,-3.8278,-78.7594,65.89,0,0,1.16
63,Victoria,66,HK,broken clouds,2022-02-05 05:07:45,70,22.2855,114.1577,65.17,0,0,8.99
64,Kruglolesskoye,100,RU,overcast clouds,2022-02-05 05:20:57,74,44.6589,42.8142,26.69,0,0,19.37
65,Butaritari,49,KI,light rain,2022-02-05 05:20:58,78,3.0707,172.7902,82.78,0,0,18.68
66,Kodiak,100,US,overcast clouds,2022-02-05 05:20:58,75,57.79,-152.4072,42.31,0,0,14.97
67,The Valley,100,AI,overcast clouds,2022-02-05 05:16:04,75,18.217,-63.0578,75.09,0,0,15.84
68,Trinidad,92,BO,overcast clouds,2022-02-05 05:20:59,94,-14.8333,-64.9,73.83,0,0,5.03
