City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
6,Punta Arenas,CL,44.71,-53.15,-70.9167,Hotel Hain
9,Port Elizabeth,ZA,68.09,-33.918,25.5701,39 On Nile Guest House
10,Annau,TM,51.3,37.8876,58.516,"Гостиница ""Уссат инженер"""
13,Donji Milanovac,RS,35.02,44.4627,22.1523,Dream Tricule
14,East London,ZA,69.04,-33.0153,27.9116,Tu Casa
15,Mayo,US,35.55,38.8876,-76.5119,Resorts Resource Group International
16,Riyadh,SA,60.85,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
17,Ushuaia,AR,44.26,-54.8,-68.3,Albatross Hotel
20,Guaymas,MX,56.44,27.9333,-110.9,Hotel Armida
21,Sorland,NO,33.6,67.667,12.6934,Sjybrygga fiskecamp
22,Bluff,NZ,59.81,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
26,Mataura,NZ,60.48,-46.1927,168.8643,Ellie's Villa
31,Mar Del Plata,AR,67.08,-38.0023,-57.5575,Gran Hotel Mar del Plata
33,Brae,GB,40.91,60.3964,-1.353,Busta House Hotel
35,Hermanus,ZA,66.79,-34.4187,19.2345,Misty Waves Boutique Hotel
36,Tias,ES,62.35,28.9611,-13.645,Hotel Beatriz Playa & SPA
40,Asfi,MA,61.02,32.2994,-9.2372,Hôtel Abda
45,Antofagasta,CL,63.68,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
46,Kushima,JP,50.04,31.4583,131.2333,Hanaoka
47,Milazzo,IT,59.18,38.2212,15.2383,Albergo Esperia
48,Cape Town,ZA,66.88,-33.9258,18.4232,Southern Sun Waterfront Cape Town
53,Castro,BR,64.24,-24.7911,-50.0119,CHACARA BAILLY
54,Vila Franca Do Campo,PT,56.19,37.7167,-25.4333,Pestana Bahia Praia
56,Tank,PK,56.57,32.2217,70.3793,Gula Jan Abdulai
60,Garowe,SO,67.35,8.4054,48.4845,Curubo Hotel
62,Yantzaza,EC,65.89,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
63,Victoria,HK,65.17,22.2855,114.1577,Mini Hotel Central
